"paperid"|"authorid"|"name"|"affiliation"
"45955"|"5210"|"Nobuji Tetsutani"|"ATR Media Information Science Laboratories, 2-2-2 Hikaridai Seika-cho Soraku-gun, Kyoto, 619-0288 Japan"
"46344"|"7915"|"D. Walther"|""
"46790"|"8413"|"Roman L. Tatusov"|""
"46824"|"4492"|"Leonidas C. Koutsougeras"|"School of Economic Studies, University of Manchester and Department of Econometrics, Tilburg University"
"46901"|"2528"|"John Mazziotta"|""
"47028"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"47030"|"3897"|"Ravi P. Agarwal"|"Florida Institute of Technology Department of Mathematical Sciences 150 West University Blvd. Melbourne FL 32901"
"47077"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"47265"|"3897"|"Ravi P. Agarwal"|"Department of Mathematical Science, Florida Institute of Technology, Melbourne, FL 32901, USA"
"47276"|"826"|"Emanuele Buratti"|""
"48166"|"659"|"Douglas Comer"|""
"48816"|"7326"|"Bruno Raffin"|""
"49937"|"4039"|"Yashwant K. Malaiya"|""
"49963"|"1118"|"Alessandro Mosca"|"Department of Computer Science|Systems and Communication|University of Milan - Bicocca"
"49963"|"1118"|"Alessandro Mosca"|"Free University of Bozen Bolzano"
"50011"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"50122"|"7703"|"M. F. Doherty"|""
"50187"|"8044"|"Daniel Bar-Tal"|""
"50270"|"336"|"Halina Przymusinska"|"Department of Computer Science, California State Polytechnic University, Pomona, CA 91768, USA"
"384020"|"659"|"Douglas Comer"|""
"51029"|"2948"|"Janet Carter"|"Cambridge U."
"51184"|"6874"|"M. A.-M. Salem"|"Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt"
"51220"|"2453"|"Hélène Rey"|"CEPR, UK"
"51274"|"1508"|"Jonathan J. Oliver"|"Open University Department of Statistics Walton Hall MK7 6AA Milton Heynes UK"
"51722"|"4492"|"Leonidas C. KOUTSOUGERAS"|"School of Economic Studies, University of Manchester, Rm N.5.8 Dover Street Bldg, Manchester M13 9PL, United Kingdom"
"51984"|"2300"|"N. T. Basta"|""
"52164"|"2300"|"Nicholas T. Basta"|"The School of Environment and Natural Resources, The Ohio State University, Columbus, Ohio, 43210-1085, USA"
"52399"|"1328"|"Marc Najork"|"Microsoft Research"
"52775"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"53024"|"8566"|"María J. Bleda"|"National Center of Epidemiology, Carlos III Research Institute, Madrid - Spain"
"53506"|"2743"|"Michael Rovatsos"|""
"53819"|"8044"|"Daniel Bar-Tal"|""
"54102"|"2528"|"John C. Mazziotta"|""
"54114"|"2276"|"Stephen S. Hecht"|"University of Minnesota Cancer Center, Minneapolis, Minnesota, USA"
"55039"|"8044"|"Daniel Bar-Tal"|"Learning Research and Development Center|University of Pittsburgh"
"55193"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"55409"|"571"|"Erika F. de Lima"|"Institute for Natural Language Processing|Stuttgart University"
"55516"|"4039"|"Yashwant K. Malaiya"|""
"55703"|"6373"|"Daniel Karlström"|""
"56678"|"2453"|"Hélène Rey"|"Princeton University, Princeton, NJ, USA"
"57326"|"4057"|"E Talik"|""
"57502"|"4632"|"Romeo Ortega"|""
"57828"|"6768"|"George Nagy"|""
"57983"|"1302"|"Deborah Hix"|""
"58495"|"8691"|"Reijo Sulonen"|""
"59255"|"6683"|"Ketan Mulmuley"|"University of Chicago"
"59550"|"1861"|"Bhojaraju Gunjal"|""
"59550"|"1861"|"Bhojaraju Gunjal"|"KM Cyberary"
"59730"|"4632"|"Romeo Ortega"|""
"59806"|"339"|"Jaehoon Kim"|"Department of Electrical Engineering|University of Califomia"
"60008"|"8358"|"J. Schubert"|"Max-Planck-Institut für Physik, Föhringer Ring 6, 80805 München, Germany"
"60009"|"6747"|"Arnon Rosenthal"|""
"60219"|"4402"|"R. C. GARDNER"|"University of Western Ontario,  University College of Cape Breton,  York University"
"60673"|"4402"|"R. C. Gardner"|"U. Western Ontario"
"62654"|"7703"|"Michael F. Doherty"|""
"62767"|"4632"|"Romeo Ortega"|""
"62883"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, Florida Institute of Technology, Melbourne, FL 32901, USA"
"62992"|"4402"|"R. C. Gardner"|""
"63032"|"2276"|"Stephen S. Hecht"|"Cancer Center, University of Minnesota"
"63667"|"4090"|"Robert Thomson"|"Department of Electronics and Electrical Engineering|University of Edinburgh"
"63738"|"2528"|"John C. Mazziotta"|""
"63925"|"2528"|"John C. Mazziotta"|""
"64149"|"2528"|"John C. Mazziotta"|""
"64385"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"64385"|"4272"|"R. A. Cahill"|"Waterford Regional Hospital and Royal College of Surgeons in Ireland Department of Surgery Waterford Ireland"
"64547"|"7630"|"Tom Alber"|""
"64646"|"5086"|"Takahiro Wakao"|""
"64697"|"3593"|"John Morris"|"Department of Computer Science, The University of Auckland, Auckland, New Zealand"
"65156"|"8342"|"Lorenzo Cantoni"|"Università della Svizzera Italiana"
"65156"|"8342"|"LORENZO CANTONI"|""
"65171"|"2402"|"Peter J. Olver"|"School of Mathematics; University of Minnesota"
"65848"|"4402"|"R. C. GARDNER"|"U. WESTERN ONTARIO, LONDON, CANADA"
"66243"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"66243"|"8358"|"Johan Schubert"|"Division of Information Systems"
"66484"|"2616"|"Xuemei Huang"|""
"67347"|"2288"|"Stas Kolenikov"|"Department of Statistics|University of Missouri-Columbia"
"67840"|"6241"|"Rajendra S. Katti"|""
"68190"|"6148"|"V. Srivastava"|"McGill Centre for Bioinformatics|McGill University"
"68287"|"6683"|"Ketan Mulmuley"|""
"68344"|"4272"|"R. A. Cahill"|"St. Vincent’s University Hospital Department of Vascular Medicine Elm Park Dublin 4 Ireland Elm Park Dublin 4 Ireland"
"68344"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"68389"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"68389"|"55"|"J. Pereira"|""
"68406"|"6747"|"Arnon Rosenthal"|""
"68780"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"68941"|"745"|"A. V. Soldatov"|""
"69178"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"69264"|"2276"|"S. S. Hecht"|""
"69333"|"2528"|"JOHN C. MAZZIOTTA"|""
"69406"|"950"|"Jee-Hyang Jeong"|""
"69642"|"2236"|"A. Avetissian"|"Yerevan Physics Institute, 375036 Yerevan, Armenia"
"70423"|"1832"|"Dah Ming Chiu"|""
"71492"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"71492"|"8358"|"JOHAN SCHUBERT"|""
"71929"|"2763"|"T. PAUL SCHULTZ"|""
"72153"|"5267"|"Alaa R. Alameldeen"|""
"72163"|"8365"|"Thomas Röfer"|""
"72449"|"2276"|"Stephen S. Hecht"|"University of Minnesota"
"72487"|"5380"|"Dario L. Ringach"|""
"72653"|"8358"|"Johan Schubert"|"Division of Information Systems"
"72653"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"72733"|"3593"|"John Morris"|""
"73034"|"4358"|"Erik B. Sudderth"|""
"73850"|"6874"|"M. Salem"|""
"74404"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"74597"|"3897"|"Ravi P. Agarwal"|"Florida Institute of Technology Department of Mathematical Sciences 150 West University Blvd. Melbourne FL 32901"
"74599"|"1302"|"Deborah Hix"|""
"74717"|"5264"|"E Martinez"|""
"75169"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"384033"|"7576"|"Yoshiki Yamaguchi"|""
"75356"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"75991"|"5210"|"Nobuji TETSUTANI"|""
"76122"|"3875"|"Iakes Ezkurdia"|""
"76645"|"8316"|"Jur P. van den Berg"|"University of North Carolina at Chapel Hill Department of Computer Science"
"76773"|"2848"|"Stephen W. Salant"|""
"77024"|"8317"|"Celso Setsuo Kurashima"|""
"77012"|"826"|"Emanuele Buratti"|""
"77012"|"826"|"Emanuele Buratti"|"International Centre for Genetic Engineering and Biotechnology, Padriciano 99, 34149 Trieste, Italy"
"77268"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"77322"|"1246"|"Daniel C. Dennett"|"Center for Cognitive Studies, Department of Philosophy, Tufts University, Medford, MA, 02155, USA"
"77393"|"6352"|"A. Lasserre"|""
"77393"|"6352"|"A. Lasserre"|"Victor Segalen Bordeaux 2 University"
"77775"|"2763"|"T. Paul Schultz"|""
"77816"|"2276"|"S. S. Hecht"|""
"78214"|"4272"|"Ronan A Cahill"|""
"78214"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"78513"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, Florida Institute of Technology, Melbourne, FL 32901, USA"
"78620"|"6059"|"John F. Rembetski"|""
"79176"|"336"|"Halina Przymusinska"|""
"79468"|"826"|"Emanuele Buratti"|""
"80008"|"4071"|"David C. Bloom"|""
"80317"|"7703"|"Michael F. Doherty"|""
"80732"|"1832"|"Dah Ming Chiu"|"Information Engineering, Chinese University of Hong Kong, Shatin, China"
"81046"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"81121"|"1725"|"Nir Cohen"|"IBM Science & Technology|Dept . of Electrical Engineering"
"81161"|"7630"|"Tom Alber"|""
"81572"|"3339"|"Vassilii E. Stefanov"|""
"81656"|"7530"|"Jose A. Senso"|""
"81797"|"7066"|"A. Gomes Correia"|""
"81797"|"7066"|"Antonio Gomes Correia"|"Universidade do Minho"
"81825"|"2528"|"J. C. Mazziotta"|""
"82263"|"3339"|"V. E. Stefanov"|"St. Petersburg State University Universitetskaya nab. 7/9 St. Petersburg 199164 Russia"
"82650"|"7062"|"Luís Monteiro"|""
"82669"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"82789"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"83267"|"2288"|"Stas Kolenikov"|""
"83346"|"7703"|"M Doherty"|""
"83662"|"1312"|"Sing Bing Kang"|""
"83930"|"3897"|"RAVI P. AGARWAL"|""
"83970"|"2845"|"Warren N. Waggenspack Jr."|""
"84009"|"2763"|"T. Paul Schultz"|""
"84049"|"5264"|"Enrique Fernandez Martinez"|""
"84085"|"5505"|"Roberto Coccioli"|""
"84236"|"1312"|"Sing Bing Kang"|""
"85184"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"85520"|"5264"|"E. Martínez"|"Emergency Department, Hospital General Universitario de Alicante, Alicante, Spain"
"86049"|"6966"|"D. Middleton"|""
"87141"|"826"|"Emanuele Buratti"|""
"87564"|"5046"|"Carine Lucas"|"Programming Technology Lab|Vrije Universiteit Brussel"
"87902"|"1246"|"Daniel Dennett"|""
"88104"|"3516"|"Alessandro Artale"|""
"88364"|"3897"|"Ravi P. Agarwal"|""
"88418"|"287"|"Mitchell D. Theys"|""
"88568"|"4071"|"David C. Bloom"|"Molecular Genetics and Microbiology, University of Florida College of Medicine, Gainesville, FL 32610-0266, USA"
"89031"|"6683"|"Ketan Mulmuley"|""
"89185"|"2276"|"Stephen S Hecht"|""
"89572"|"2948"|"Janet Carter"|"Cambridge U."
"89762"|"4203"|"Alan D. Irvine"|""
"89766"|"4632"|"Romeo Ortega"|""
"90245"|"2948"|"Janet Carter"|"Cambridge U."
"90791"|"5210"|"Nobuji Tetsutani"|""
"91305"|"1312"|"Sing Bing Kang"|""
"92056"|"3585"|"Kamran Zarrineh"|""
"92584"|"426"|"Michael Thomas"|"California Institute of Technology"
"92584"|"426"|"Michael Thomas"|""
"92821"|"8147"|"Assaf Shacham"|"Department of Electrical Engineering|Columbia University"
"93261"|"1246"|"D. C. Dennett"|""
"93433"|"1118"|"Alessandro Mosca"|"Free University of Bozen Bolzano"
"93433"|"1118"|"Alessandro Mosca"|""
"93589"|"6827"|"William A. Masters"|""
"93852"|"800"|"S. B. Rasmussen"|"Department of Chemistry, Technical University of Denmark, DK-2800 Lyngby, Denmark"
"93887"|"3897"|"Ravi P. Agarwal"|"Department of Mathematical Sciences, Florida Institute of Technology, Melbourne, FL 32901-6975, USA"
"94280"|"7457"|"Xiang Li"|""
"94281"|"976"|"F. Alber"|""
"94783"|"7703"|"Michael F. Doherty"|""
"94830"|"5264"|"E. Martínez"|"Instituto de Ciencia de Materiales de Aragon, CSIC-Universidad de Zaragoza, C/Maria de Luna 3, 50018 Zaragoza, Spain"
"95229"|"6733"|"Jawahar Jain"|"Department of Electrical Engineering and Computer Sciences|University of California , Berkeley"
"95309"|"1312"|"Sing Bing Kang"|"School of Computer Science|Carnegie Mellon University"
"95316"|"724"|"Clarisse Dhaenens"|"Université de Lille1 LIFL Bât M3 Cité Scientifique 59655 Villeneuve d’Ascq Cedex France"
"95397"|"1476"|"Sweder van Wijnbergen"|"University of Amsterdam|Tinbergen Institute"
"95899"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"96145"|"2276"|"Stephen S. Hecht"|"Division of Chemical Carcinogenesis"
"96475"|"339"|"Jae-hoon Kim"|""
"96539"|"1832"|"D. M. Chiu"|""
"96928"|"1806"|"Charles D. Norton"|""
"97588"|"1312"|"Sing Bing Kang"|"One Microsoft Way Microsoft Research Redmond WA USA 98052"
"97734"|"6683"|"Ketan Mulmuley"|""
"98591"|"2948"|"Janet Carter"|"CERN"
"98707"|"2276"|"S. S. Hecht"|""
"98796"|"1246"|"DANIEL C. DENNETT"|""
"98827"|"8495"|"David Carrera"|"Universitat Politècnica de Catalunya"
"98994"|"745"|"A. V. Soldatov"|""
"99524"|"3875"|"Iakes Ezkurdia"|""
"99604"|"4039"|"Y. K. Malaiya"|""
"384058"|"3305"|"Paolo Bresciani"|""
"99770"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"99919"|"6827"|"William A. Masters"|""
"100255"|"7066"|"António Gomes Correia"|""
"100255"|"7066"|"Antonio Gomes Correia"|"Universidade do Minho"
"100344"|"6747"|"Arnon Rosenthal"|""
"100790"|"5920"|"Bruce R. Land"|"Department of Neurobiology and Behavior|Cornell University"
"101171"|"2276"|"Stephen S. Hecht"|""
"101241"|"7576"|"Yoshiki Yamaguchi"|""
"101385"|"826"|"Emanuele Buratti"|""
"101385"|"826"|"E. Buratti"|""
"101630"|"7703"|"M. F. Doherty"|""
"101691"|"325"|"Zhen Song"|""
"101767"|"1419"|"Chih-lung Lin"|"National Central University Dept. of Computer Science and Information Engineering Chung-Li 320 Taiwan"
"101903"|"3447"|"Adam Abramowicz"|""
"102358"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"102462"|"5659"|"Yoichi Sato"|"National Institute of Advanced Industrial Science and Technology (AIST): Tsukuba, Japan"
"102627"|"2763"|"T. P Schultz"|""
"102768"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"104081"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"104556"|"826"|"Emanuele Buratti"|""
"104556"|"826"|"Emanuele Buratti"|"International Centre for Genetic Engineering and Biotechnology|Departments of 2 Radiation Oncology"
"105696"|"3526"|"Robert Stalnaker"|""
"105901"|"6573"|"N. P. Kozlov"|""
"106728"|"745"|"A. V. Soldatov"|""
"106799"|"1476"|"Sweder van Wijnbergen"|""
"108144"|"5267"|"Alaa R. Alameldeen"|"Oregon Microarchitecture Research|Intel Labs"
"108616"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"108712"|"7863"|"Weijia Shang"|""
"108844"|"8358"|"JOHAN SCHUBERT"|""
"108844"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"109784"|"2276"|"S. S. Hecht"|""
"109868"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"110515"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"111012"|"2276"|"S. S. Hecht"|""
"111260"|"826"|"Emanuele BURATTI"|""
"111275"|"5264"|"Elisabeth Martinez"|"Department of General Thoracic Surgery, Hospital Clinic of Barcelona, University of Barcelona, Barcelona, Spain"
"112577"|"7630"|"T Alber"|""
"112858"|"6747"|"Arnon Rosenthal"|""
"113118"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"113323"|"8971"|"SHAYANFAR Heidar Ali"|""
"113676"|"1476"|"Sweder van Wijnbergen"|""
"114092"|"4274"|"N. Goldman"|""
"114128"|"1312"|"S. B. Kang"|""
"114840"|"1246"|"Daniel C. Dennett"|""
"115460"|"7473"|"Xia Wan"|"Media Systems Center|Department of Electrical Engineering-Systems|University of Southern California"
"115888"|"6747"|"Arnon Rosenthal"|""
"116179"|"3711"|"L. Hojgaard"|""
"116663"|"1312"|"Sing Bing Kang"|"University of Tokyo"
"116923"|"826"|"Emanuele Buratti"|""
