id|title|year|conferenceid|journalid|keyword
25058|Software reliability growth with test coverage|2002|0|337|Index Terms—Defect density, reliability-growth model, software reliability, software testing, test coverage.
25093||2012|0|0|Particle Physics - Experiment
25103||0|0|0|Key Words: Holstein calves, internal organs, level of concentrate, veal calves, viscera
25205|Invariant Euler-Lagrange Equations and the Invariant Variational Bicomplex|2000|0|0|
25304|State equation for an ensemble of self-oscillating systems in interaction|1989|0|5435|
25419|Behavioural Views for Software Requirements Engineering|1999|0|205|Keywords: Formal methods; Specification languages; Statecharts; Visual languages
25546|University centre -- A "Slightly surround" concert hall|1980|2771|0|
25733|Mammalian cell expression of malaria merozoite surface proteins and experimental DNA and RNA immunisation|1999|0|2685|
25733|Mammalian cell expression of malaria merozoite surface proteins and experimental DNA and RNA immunisation|1999|0|2685|
25768||2006|0|3120|
26162|Bank Networks and Monetary Policy Transmission|2004|0|4865|Keywords: monetary policy, bank lending channel, interbank market
26214|Analysis of a large scale vehi-cle routing problem with an inventory component|1984|0|0|
26530|PATRIC: The VBI PathoSystems Resource Integration Center|2007|0|188|
28898|XMOS - An eXact Multi-Objective Solver|2006|0|0|
29283|Theoretical analysis of spin-dependent synthesis of DNA/RNA|2011|0|1566|
29398||1992|0|8566|
29472|Analog Synthesis from Behavioural Descriptions|1993|1223|0|
30629|Libéraliser l'agriculture mondiale? Théories, modèles et réalités|2006|0|0|
33538|Reactions of α-Acetoxy-<i>N</i>-nitrosopyrrolidine with Deoxyguanosine and DNA|2001|0|8156|
33825|Stability of a general class of difference systems|1998|0|4496|Generalized difference system; Difference inequalities; Stability with respect to manifolds; Mutual stability
33952|Measures as Lagrange multipliers in multistage stochastic programmming|1977|0|0|
34143|Adaptive system on a chip (ASOC): a backbone for power-aware signal processing cores|2003|1096|0|
34156|Cyclooxygenase-2 expression in primary human colorectal cancers and bone marrow micrometastases|2004|0|3065|Colorectal cancer; Cyclooxygenase-2; Metastasis
34156|Cyclooxygenase-2 expression in primary human colorectal cancers and bone marrow micrometastases|2004|0|3065|Colorectal cancer; Cyclooxygenase-2; Metastasis
34723|Approximate dynamic models for chemical process systems|1989|0|5383|
34773||2006|0|3024|
35089|Shape Ambiguities in Structure From Motion|1997|0|25|
35242|The Financial Crisis and the Geography of Wealth Transfers|2011|0|0|global financial crisis,international monetary system,reserve currency,valuation effects
35261|Conference Report: ICDAR' 07|1997|1083|0|
36457|Resilient Behaviour of non Standard Unbound Granular Materials|2009|0|11706|
36457|Resilient Behaviour of non Standard Unbound Granular Materials|2009|0|11706|
36459||0|0|0|Key words: Diabetes Mellitus; Prevention, Control; Health Care System.
36533|Loss-of-Function Mutations in the Filaggrin Gene Lead to Reduced Level of Natural Moisturizing Factor in the Stratum Corneum|2008|0|3626|
36533|Loss-of-Function Mutations in the Filaggrin Gene Lead to Reduced Level of Natural Moisturizing Factor in the Stratum Corneum|2008|0|3626|
36536|Sympathetic Efferent Nerve Activity in Conscious and Isoflurane-anesthetized Dogs: |1984|0|2550|
36725|Tripartite Quantum State Sharing|2004|0|8570|
37244|Skin Surface Electric Potential Induced by Ion-Flux through Epidermal Cell Layers|2001|0|1452|barrier; epidermis; calcium; magnesium; potassium
37257|ESTIMATION AND CHARACTERIZATION OF SEA-ICE MOTION USING ERS-1 IMAGERY|0|0|0|
37690|SLEUTH: Single-pubLisher attack dEtection Using correlaTion Hunting|2008|0|1014|
37902|Phase transition in the SmchiGd-chiS system: sulphur XANES and X-ray emission analysis|1991|0|5707|
37977|Class-Specific, Top-Down Segmentation|2002|657|0|Keywords: Grouping and segmentation; Figure-ground; Top-down pro- cessing; Object classification
38355|FLUOROSIS RISKS TO RESIDENT HISPID COTTON RATS ON LAND- TREATMENT FACILITIES FOR PETROCHEMICAL WASTES|0|0|0|
39018|Regularized Principal Manifolds|1999|687|0|
39666|The Role of Design Components in Test Plan Generation|2001|1015|0|
39950|Natural resources and the macroeconomy|1986|0|0|
40294|PESQUISA DE SATISFAÇÃO: UM ESTUDO SOBRE A ÓTICA DO CONSUMIDOR EM UMA FARMÁCIA DE MANIPULAÇÃO NA CIDADE DE MARINGÁ|0|0|0|
40542|Effects of Language Choice on AcculturationA Study of Portuguese Immigrants in a Multicultural Setting|1994|0|9783|
41148|A Blind Sequence Detection and Its Application to Digital Mobile Communication|1995|0|16|
42119|A magneto-telluric deep crustal study in south-central Portugal|1993|0|6583|
42346|Set Theory in the Complex Plane|0|0|0|
42494|Dynamics of heterogeneous azeotropic distillation columns|1990|0|1875|
42518|Geometric Complexity Theory VIII: On canonical bases for the nonstandard quantum groups|2007|0|0|Computer Science - Computational Complexity
42528|Herramientas para trabajar con rdf|2003|0|11282|
42761|Characterizing challenged Minnesota ballots|2011|0|0|
42966|Sélection de semis de Prunus amygdalus comme porte-greffe de l'amandier|0|0|0|Key words: Seedling rootstocks. Prunus amygdalus. selection, dry culture.
43015|Spin-dependent Mn XANES of MnO: theoretical analysis|1995|0|8582|
43323||2003|0|0|
43502|Scheduling Broadcasts with Deadlines|2003|585|0|
43828|Roadmap-based motion planning in dynamic environments|2004|2821|0|
44126|Dynamic Injection Control Module for Optical Packet Switching Fabrics|0|0|0|
44413|APPLICATIONS OF THE SPARSE HOUGH TRANSFORM FOR LASER DATA LINE FITTING AND SEGMENTATION|2006|0|5452|Key Words Hough transform, sparse Hough transform, Log-Hough transform, mobile robot
44464|Single-Image Vignetting Correction|2006|838|0|
44471|Stationary solutions of N = 2 supergravity|1998|0|0|N = 2 supergravity; Black hole solutions; Calabi-Yau compactifications
44798|Protocols for Malicious Host Revocation|2003|1095|0|
44957|QuakeSim: Web Services, Portals, and Infrastructure for Geophysics|2008|0|0|
45079|Constructing a Near-Minimal-Volume Computational Box for Molecular Dynamics Simulations with Periodic Boundary Conditions|2003|2699|0|
45282|A 3D motion-tracking method in graphonomic research: possible applications in future handwriting recognition studies|2002|0|418|Keywords: 3Dmotion tracking; Joint movements; Writer identi7cation; Handwriting
45615|Teleworking and collaborative work environments in translation training|2009|0|15701|
45660|Enterprise access policy enforcement for applications through hybrid models and XSLT technologies|2004|1644|0|XML schema|XSLT|domain type enforcement (DTE)|policy rules|provisioning|role-based access control (RBAC)
45955|A Novel Wearable System for Capturing User View Images|2004|657|0|
46344|Measurement of the Beam Asymmetry $\Sigma$ in the Forward Direction for
  pi0 Photoproduction|2010|0|8567|
46790|Genome analysis using clusters of orthologous groups (COGs)|1998|1520|0|
46824|Market games with multiple trading posts|1999|0|0|trading posts, law of one price.
46901||2005|0|9521|
47028|Ballistic Impact Response of Kevlar 49 and Zylon under Conditions Representing Jet Engine Fan Containment|2009|0|5477|
47030|Solution at a Singular Point (Cont’d.)|0|0|0|
47077|Feasibility study for co-digestion of sewage sludge with OFMSW on two wastewater treatment plants in Germany|2005|0|5888|
47265|Effect of seasonality on the dynamical behavior of an ecological system with impulsive control strategy|2011|0|5536|
47276|The secondary structure of the human immunodeficiency virus type 1 transcript modulates viral splicing and infectivity|2008|0|7498|
48166|CSNET (panel session): using inter-organization networks to support research and advanced development in computer science|1986|1099|0|
48816|Learning boolean functions safe from local minima with a Generalized Perceptron|1995|0|0|
49937|A Continous-Parameter Markov Model and Detection Procedures for Intermittent Faults|1978|0|18|
49963|Integrating a Wiki in an Ontology Driven Web Site: Approach, Architecture and Application in the Archaeological Domain|2008|2436|0|
49963|Integrating a Wiki in an Ontology Driven Web Site: Approach, Architecture and Application in the Archaeological Domain|2008|2436|0|
50011|On the energy transported by exact plane gravitational-wave solutions|2009|0|8378|Keywords: gravitational wave, energy-momentum, conserved currents
50122|Real-time object determination for space robotics|1988|38|0|
50187|Security Feelings among Jewish Settlers in The Occupied TerritoriesA Study of Communal and Personal Antecedents|1995|0|10807|
50270|Dynamic updates of non-monotonic knowledge bases|2000|0|4561|Keywords: Knowledge representation; Non-monotonic knowledge bases; Dynamic updates
51029||2011|0|0|Particle Physics - Experiment
51184|Performance comparison for feature selection in Musical Information Retrieval|2011|3342|0|
51220|The determinants of cross-border equity flows|2005|0|4886|F36; F21; F12; G11
51274|Averaging Over Decision Stumps|1994|661|0|
51722|On a three way equivalence|1998|0|0|
51984|Path and Multiple Regression Analyses of Phosphorus Sorption Capacity|0|0|0|
52164|The effect of dosing vehicle on arsenic bioaccessibility in smelter-contaminated soils|2007|0|6093|Contaminated soil,arsenic,bioavailability,risk assessment,exposure,soil ingestion
52399|Web Spam Detection|2009|0|0|
52775|Computational modeling of a dilute turbulent liquid-solid flow using a Eulerian-Lagrangian approach|2000|0|5440|Computational model,Numerical methods,Flow
53024|Delirium in Parkinson's disease patients. A five-year follow-up study|2005|0|4064|Parkinson's disease; Delirium; Survival analysis; Repeated measurements
53506|Towards a Unified Model of Socialitiy in Multiagent Systems|2003|377|0|Keywords: Articial Agents, Multiagent Systems, Agent Communication Languages, Agent-Oriented Software Engi- neering, Socionics.
53819|Attributional Analysis of Achievement-Related Behavior|1978|0|11352|
54102|Cerebral Glucose Metabolism as a Function of Age in Man: Influence of the Rate Constants in the Fluorodeoxyglucose Method|1983|0|7978|Key Words:,Aging,Fluorodeoxyglucose,Local cerebral metabolic rate of glucose,Rate constant.
54114|Oral creatine supplementation in humans does not elevate urinary excretion of the carcinogen N-nitrososarcosine|2006|0|1343|Nutritional supplement; Nitrite; Cancer
55039|Achievement motivation for males and females as a determinant of attributions for success and failure|1977|0|9992|
55193|Protocols|0|0|0|
55409|Induction of a Stem Lexicon for Two-level Morphological Analysis|0|0|0|
55516|Using Neural Networks in Reliability Prediction|1992|0|17|
55703|Practitioners' Expectations on Development Processes|2003|506|0|
56678|Information and capital flows: The determinants of transactions in financial assets|2001|0|4726|Capital flows; Cross-border portfolio investment; Information asymmetries; Gravity model; Geography
57326|Crystallographic, electronic structure and magnetic properties of the GdTAl; T=Co, Ni and Cu ternary compounds|2000|0|8467|Rare earth transition metal compounds; Crystallographic structure; Electrical resistivity; ESR
57502|Theoretical and experimental comparison of two nonlinear controllers for current-fed induction motors|1997|0|5342|Index Terms— Motor control, nonlinear control, nonlinear sys- tems.
57828|Why Table Ground-Truthing is Hard|2001|1083|0|
57983|TopicShop: enhanced support for evaluating and organizing collections of Web sites|2000|431|0|
58495|Product Configurations - An Application for Prototype Object Approach|1994|662|0|Keywords: Prototype object model, delegation, product configurations.
59255|Lower bounds for parallel linear programming and other problems|1994|392|0|
59550|KM Cyberary - A gateway to Knowledge Resources|2007|0|0|
59550|KM Cyberary - A gateway to Knowledge Resources|2007|0|0|
157743||2000|0|1455|
59730|A cyclo-dissipativity condition for power factor improvement in electrical circuits|2006|4293|0|
59806|An implanted antenna in the spherical human head: SAR and communication link performance|2003|0|3380|
60008|Operation of an 18-fold segmented n-type HPGe detector in liquid nitrogen|2009|0|2138|
60009|Coordinating Accessibility versus Restrictions in Distributed Object Systems|0|0|0|Keywords: Access controls, distributed o bject management, security, business tasks
60219|The Effects of Multiple Social Categories on Stereotyping|1995|0|9570|
60673|A language aptitude test for blind students|1965|0|9719|
62654|Design and minimum-reflux calculations for single-feed multicomponent reactive distillation columns|1988|0|1946|
62767|On position tracking in bilateral teleoperation|2004|0|0|
62883|Cauchy’s Integral Formula for Derivatives|0|0|0|
62992|ON THE VALIDITY OF AFFECTIVE VARIABLES IN SECOND LANGUAGE ACQUISITION: CONCEPTUAL, CONTEXTUAL, AND STATISTICAL CONSIDERATIONS|1980|0|11060|
63032|Abstinence and Relapse Rates Following a College Campus-Based Quit & Win Contest|2010|0|10771|college,contest,incentive,smoking cessation,young adult
63667|Evolvable Hardware for the Generation of Sequential Filter Circuits|2002|669|0|
63738|Reduced Cerebral Glucose Metabolism in Asymptomatic Subjects at Risk for Huntington's Disease|1987|0|3918|
63925|Positron emission tomographic study of affective disorders: Problems and strategies|1984|0|7879|
64149|Impact of acquisition protocols and processing streams on tissue segmentation of T1 weighted MR images|2006|0|407|Structural neuroimaging; MRI; Reliability; Validation; Segmentation; Tissue classification
64385|Preoperative selection of symptomatic breast cancer patients appropriate for lymphatic mapping and sentinel node biopsy|2007|0|3428|Keywords Preoperative selection Sentinel node Symptomatic breast cancer Tumour profiling
64385|Preoperative selection of symptomatic breast cancer patients appropriate for lymphatic mapping and sentinel node biopsy|2007|0|3428|Keywords Preoperative selection Sentinel node Symptomatic breast cancer Tumour profiling
64547|X-ray Structure of the GCN4 Leucine Zipper, a Two-Stranded, Parallel Coiled Coil|1991|0|248|
64646|CRL/Brandeis: description of the Diderot system as used for MUC-5|1993|2536|0|
64697|Distributed Markov Chain Monte Carlo kernel based particle filtering for object tracking|0|0|177|Keywords Particle filter · Kernel function · MCMC · Local parallel scheme · Global parallel scheme
65156|Contents/Indice|0|0|0|
65156|Contents/Indice|0|0|0|
65171|Geometric Foundations of Numerical Algorithms and Symmetry|2000|0|0|
65848|ETHNIC STEREOTYPES: A FACTOR ANALYTIC INVESTIGATION.|1968|0|15278|
66243|Modelling a Simulation-Based Decision Support System for Effects-Based Planning|2009|0|0|
66243|Modelling a Simulation-Based Decision Support System for Effects-Based Planning|2009|0|0|
66484|Depression and the subsequent risk of Parkinson's disease in the NIH-AARP Diet and Health Study|2010|0|3914|
67347|Inference with Heywood cases|2009|0|0|
67840|Low Complexity Multiplication in a Finite Field Using Ring Representation|2003|0|18|
68190|Application Note BIAS: Bioinformatics Integrated Application Software|2004|0|0|
68287|Output Sensitive and Dynamic Constructions of Higher Order Voronoi Diagrams and Levels in Arrangements|1993|0|102|
68344|Concomitant Detection of Systemic Atherosclerotic Disease while Screening for Abdominal Aortic Aneurysm|2006|0|4452|
68344|Concomitant Detection of Systemic Atherosclerotic Disease while Screening for Abdominal Aortic Aneurysm|2006|0|4452|
68389|Self-Adapting Epidemic Broadcast Algorithms|2004|0|0|
68389|Self-Adapting Epidemic Broadcast Algorithms|2004|0|0|
68406|Propagating Integrity Information in Multi-Tiered Database Systems|1997|81|0|
68780||1999|0|5708|
68941|Calculation of spin-polarized K-XANES spectra of manganese in MnO: Analysis by means of the multiple-scattering method|1996|0|5722|
69178|Mobile and personal communications: ACTS and beyond|1997|0|0|
69264||2009|0|8193|
69333|HUMAN FUNCTIONAL ANATOMY OF VISUALLY GUIDED FINGER MOVEMENTS|1992|0|7895|
69406|Hypertensive Pontine Microhemorrhage|2010|0|0|
69642|Search for a two-photon exchange contribution to inclusive deep-inelastic scattering|2010|0|8558|13.60.-r; 13.60.Hb; 13.88.+e; 14.20.Dh; 14.65.-q
70423|Division-of-labor between server and P2P for streaming VoD|2012|0|0|
71492|Prediktion av främmande ubåtars framtida position|1996|0|0|
71492|Prediktion av främmande ubåtars framtida position|1996|0|0|
71929|INVESTMENT IN WOMEN, ECONOMIC DEVELOPMENT, AND IMPROVEMENTS IN HEALTH IN LOW-INCOME COUNTRIES.|1989|0|7827|human resources ; developing countries ; economic development ; investments
72153|Timestamp snooping: an approach for extending SMPs|2000|0|190|
72163|Ein Fahrassistent für ältere und behinderte Menschen|1999|1100|0|
72449|Stereochemistry of Metabolites of a Tobacco-specific Lung Carcinogen in Smokers' Urine1|0|0|0|
72487|Predictions of a Recurrent Model of Orientation Selectivity|1997|0|0|
72653|Multi-level subjective effects-based assessment|2010|0|0|
72653|Multi-level subjective effects-based assessment|2010|0|0|
72733|Distributed Markov Chain Monte Carlo Particle Filtering|2009|3389|0|
73034|Learning Multiscale Representations of Natural Scenes Using Dirichlet Processes|2007|20|0|
73850|Electrostatic MEMS converters with a switchable dielectric constant for micro-scale power generation|2007|4365|0|Electro-static MEMS; Energy harvesting; Interdigitated MEMS; Switchable dielectric fluid
74404|The HLA Alleles DRB1*13 and DQB1*06 Are Associated to Whipple's Disease|2009|0|3223|
74597|Fourier Series Solutions of Ordinary Differential Equations|0|0|0|
74599|Human-computer interface development tools: a methodology for their evaluation|1991|0|209|
74717|OUTCOMES OF LIVER TRANSPLANT RECIPIENTS WITH HEPATITIS C RECEIVING INTERFERON / RIBAVIRIN TREATMENT: |2004|0|4390|
75169|Torsion as Alternative to Curvature in the Description of Gravitation|2004|0|0|
75356|Spallation studies at GSI|0|0|0|
75991|Hands-on learning of computer programming in introductory stage using a model railway layout|2004|789|0|CSCW|computer learning|virtual reality
76122|Target domain definition and classification in CASP8|2009|0|1792|
76645|Path Planning among Movable Obstacles: A Probabilistically Complete Approach|2008|0|0|
76773|Restricting the Trash Trade|2000|0|1085|
77024|Composition of Panoramic Images for Telepresence Systems|0|0|0|Index Terms— Image stitching, Video transmission, Internet, Teleconferencing, Telepresence.
77012|InTRONs in biotech|2011|0|1739|Keywords mRNA splicingmRNA stabilityIntrons � ExonsGene expression
77012|InTRONs in biotech|2011|0|1739|Keywords mRNA splicingmRNA stabilityIntrons � ExonsGene expression
77268|Surface solitary waves in a double diffusive system|1992|0|8573|
77322|Consciousness cannot be separated from function|2011|0|10020|
77393|Development of a zinc calcium phosphate ceramic system for antibiotic delivery|1996|537|0|
77393|Development of a zinc calcium phosphate ceramic system for antibiotic delivery|1996|537|0|
77775|Fertility and Investments in Human Capital: Estimates of the Consequences of Imperfect Fertility Control in Malaysia|1987|0|0|Labor and Human Capital,
77816||2010|0|2814|
78214|Natural orifice transluminal endoscopic surgery and localized resection for colorectal neoplasia|2010|0|21848|
78214|Natural orifice transluminal endoscopic surgery and localized resection for colorectal neoplasia|2010|0|21848|
78513|History of Complex Numbers|0|0|0|
78620|Plasma-based dry etching techniques in the silicon integrated circuit technology|1992|0|3|
79176|Disjective Defaults|1991|127|0|
79468|Low U1 snRNP dependence at the<i>NF1</i>exon 29 donor splice site|2009|0|1600|
80008||2002|0|7544|herpesvirus, latency, reactivation, latency-associated transcript
80317|The interface between design and control. 2. Process operability|1988|0|5383|
80732|On Cooperative Settlement Between Content, Transit, and Eyeball Internet Service Providers|2011|0|7|
81046|Measurement of the Spin of the Ω� Hyperon at BABAR|0|0|0|
81121|Optimal representation of images by localized phase|1996|2771|0|
81161|M. tuberculosis Ser/Thr Protein Kinase D Phosphorylates an Anti-Anti–Sigma Factor Homolog|2007|0|7524|
81572|Quantum field lability indexes of ligands for predicting some properties of platinum complexes|1997|0|2073|
81656|La dualidad texto-imagen en SVG (scalable vector graphics): nuevas posibilidades para la descripción de información gráfica|2003|0|11282|
81797|Uniaxial Compressive Strength Prediction of Jet Grouting Columns using Support Vector Machines|2011|0|0|
81797|Uniaxial Compressive Strength Prediction of Jet Grouting Columns using Support Vector Machines|2011|0|0|
81825|CEREBRAL GLUCOSE METABOLISM AS A FUNCTION OF AGE: THE INFLUENCE OF THE RATE CONSTANTS IN THE FDG METHOD|1982|0|2918|
82263||2009|0|2328|
82650|Syntactic and Semantic Inheritance in Logic Programming|1991|1478|0|
82669|Does a tensorial energy-momentum density for gravitation exist?|0|0|0|
82789|A temperature sensor fault detector as an artificial neural network application|1998|3727|0|
83267|The Effect of Complex Sampling on Statistical Procedures in Social Science Research|0|0|0|
83346|On the polynomial defining vapor-liquid split|1977|0|1946|
83662|Toward automatic robot instruction from perception-mapping human grasps to manipulator grasps|1997|0|5362|
83930|Boundary Value Problems on the Half Line in the Theory of Colloids|2002|0|5657|
83970|Nesting of two-dimensional irregular parts using a shape reasoning heuristic|1997|0|293|nesting; shape reasoning; features
84009||2009|0|5068|J13,J21,J68,O15
84049|Study of low-energy neutrino factory at the Fermilab to DUSEL baseline|2009|0|0|
84085|Aperture-coupled patch antenna on UC-PBG substrate|1999|0|5354|
